"filename", "language", "TypeScript JSX", "JavaScript", "JSON with Comments", "XML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/FilteredExpenses.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 0, 4, 9, 109
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/FilteredPieCharts.tsx", "TypeScript JSX", 177, 0, 0, 0, 0, 0, 0, 5, 9, 191
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ImportGSScreen.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 0, 0, 1, 9, 146
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/JoinTrip.tsx", "TypeScript JSX", 220, 0, 0, 0, 0, 0, 0, 10, 12, 242
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/LoginScreen.tsx", "TypeScript JSX", 101, 0, 0, 0, 0, 0, 0, 10, 9, 120
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageCategoryScreen.tsx", "TypeScript JSX", 565, 0, 0, 0, 0, 0, 0, 25, 24, 614
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageExpense.tsx", "TypeScript JSX", 294, 0, 0, 0, 0, 0, 0, 38, 28, 360
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OnboardingScreen.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 2, 7, 68
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OverviewScreen.tsx", "TypeScript JSX", 146, 0, 0, 0, 0, 0, 0, 3, 13, 162
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ProfileScreen.tsx", "TypeScript JSX", 359, 0, 0, 0, 0, 0, 0, 25, 20, 404
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/RatingModal.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 0, 3, 10, 101
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/RecentExpenses.tsx", "TypeScript JSX", 263, 0, 0, 0, 0, 0, 0, 9, 28, 300
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SettingsScreen.tsx", "TypeScript JSX", 230, 0, 0, 0, 0, 0, 0, 19, 19, 268
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SignupScreen.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 10, 9, 104
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SplitSummaryScreen.tsx", "TypeScript JSX", 275, 0, 0, 0, 0, 0, 0, 8, 19, 302
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/async-storage.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 0, 0, 29, 9, 99
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/auth-context.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 2, 11, 63
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/cache.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/expenses-context.tsx", "TypeScript JSX", 260, 0, 0, 0, 0, 0, 0, 21, 30, 311
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/network-context.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/settings-context.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 2, 9, 67
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/trip-context.tsx", "TypeScript JSX", 186, 0, 0, 0, 0, 0, 0, 12, 22, 220
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/user-context.tsx", "TypeScript JSX", 193, 0, 0, 0, 0, 0, 0, 69, 37, 299
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/appState.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/auth.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/category.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 6, 6, 99
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/currencyExchange.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 4, 4, 42
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/date.ts", "TypeScript", 0, 0, 0, 0, 0, 127, 0, 40, 27, 194
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/dateTime.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 18, 1, 56
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/expense.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 1, 4, 60
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/http.tsx", "TypeScript JSX", 440, 0, 0, 0, 0, 0, 0, 82, 42, 564
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/offline-queue.ts", "TypeScript", 0, 0, 0, 0, 0, 206, 0, 49, 10, 265
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/split.ts", "TypeScript", 0, 0, 0, 0, 0, 349, 0, 29, 22, 400
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/string.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/tourUtil.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"Total", "-", 12786, 205, 17, 9, 37099, 1671, 30, 1169, 1249, 54235
