Date : 2023-04-10 16:28:32
Directory : /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp
Total : 109 files,  50643 codes, 1070 comments, 1167 blanks, all 52880 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SettingsScreen.tsx                                          | TypeScript JSX     |        225 |         16 |         19 |        260 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SignupScreen.tsx                                            | TypeScript JSX     |         83 |         10 |          9 |        102 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SplitSummaryScreen.tsx                                      | TypeScript JSX     |        178 |         13 |         14 |        205 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/WelcomeScreen.js                                            | JavaScript         |         40 |          0 |          7 |         47 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/async-storage.tsx                                             | TypeScript JSX     |         61 |         29 |          9 |         99 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/auth-context.tsx                                              | TypeScript JSX     |         50 |          2 |         11 |         63 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/cache.tsx                                                     | TypeScript JSX     |         35 |          0 |         10 |         45 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/expenses-context.tsx                                          | TypeScript JSX     |        260 |         21 |         30 |        311 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/settings-context.tsx                                          | TypeScript JSX     |         55 |          2 |          9 |         66 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/trip-context.tsx                                              | TypeScript JSX     |        186 |         12 |         22 |        220 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/user-context.tsx                                              | TypeScript JSX     |        242 |         14 |         36 |        292 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/tsconfig.json                                                       | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/appState.ts                                                    | TypeScript         |         14 |          0 |          5 |         19 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/auth.ts                                                        | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/category.ts                                                    | TypeScript         |         74 |          6 |          5 |         85 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/currencyExchange.ts                                            | TypeScript         |         10 |          2 |          2 |         14 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/date.ts                                                        | TypeScript         |        127 |         40 |         27 |        194 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/dateTime.ts                                                    | TypeScript         |         37 |         18 |          1 |         56 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/expense.ts                                                     | TypeScript         |         54 |          1 |          4 |         59 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/http.tsx                                                       | TypeScript JSX     |        440 |         82 |         42 |        564 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/offline-queue.ts                                               | TypeScript         |        213 |         49 |          9 |        271 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/split.ts                                                       | TypeScript         |        244 |         20 |         17 |        281 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/string.ts                                                      | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/tourUtil.ts                                                    | TypeScript         |         21 |          0 |          5 |         26 |
| Total                                                                                                                          |                    |     50,643 |      1,070 |      1,167 |     52,880 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
